x;y;z;e;
35;50;18;6;
20;80;15;5;
45;25;12;7;
70;10;30;4;
15;60;8;6;
80;45;16;4;
10;30;5;8;
28;70;10;7;
50;40;22;4;
60;20;3;6;
40;15;18;5;
25;35;6;3;
55;70;25;4;
30;65;12;7;
18;55;9;5;
60;10;16;8;
65;20;22;3;
45;60;3;7;
75;35;30;6;
20;30;8;6;
85;20;16;8;
15;75;5;4;
58;70;10;7;
56;40;22;4;
62;80;3;6;
70;20;18;5;
25;65;6;3;
55;45;25;4;
30;20;12;7;
18;35;9;5;
50;80;16;8;
25;20;22;3;
35;60;3;7;
60;35;30;6;
20;40;8;6;
80;50;16;8;
10;75;5;4;
28;55;10;7;
50;60;22;4;
60;60;3;6;
40;40;18;5;
25;25;6;3;
55;55;25;4;
30;30;12;7;
18;18;9;5;
65;70;22;8;
25;55;10;6;
45;35;30;3;
80;15;16;7;
60;50;3;4;
35;80;15;9;
20;25;12;5;
45;70;30;6;
70;35;8;3;
15;20;16;7;
80;60;22;5;
10;45;3;8;
28;85;12;7;
50;70;9;5;
60;25;25;8;
40;15;18;4;
25;60;6;7;
55;25;22;3;
30;40;3;6;
18;10;16;5;
65;40;22;8;
35;45;10;6;
50;65;30;3;
70;30;16;7;
45;20;3;4;
35;75;15;9;
25;30;12;5;
50;70;30;6;
80;45;8;3;
15;60;16;7;
60;35;22;5;
40;50;3;8;
28;90;12;7;
65;70;9;5;
55;25;25;8;
30;10;18;4;
20;55;6;7;
45;15;22;3;
80;30;3;6;
18;80;16;5;
